starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYBBBBBBPP, 0.00024059974, 11891.21, 221.77, 8019.83
YYBBBBBBYB, 0.0010339821, 14674.77, 310.86, 0.00
YYBBBBBBYP, 0.00056869024, 14581.89, 221.77, 4612.15
YYBBBBBBBP, 0.00087490806, 11891.21, 334.15, 5012.40
YYBBBBPPPP, 0.00010917214, 11891.21, 8406.48, 147.85
YYBBBBPPYB, 0.000938339, 14612.85, 565.11, 5655.62
YYBBBBPPYP, 0.00051608647, 14643.81, 147.85, 6694.44
YYBBBBPPBP, 0.00079397915, 11891.21, 194.05, 9002.76
YYBBBBYBYB, 0.0020162652, 15783.43, 249.78, 0.00
YYBBBBYBYP, 0.002217892, 15752.47, 194.05, 4092.16
YYBBBBYBBP, 0.0034121417, 14612.85, 514.03, 3534.76
YYBBBBYPYP, 0.0006099203, 15752.47, 147.85, 5254.05
YYBBBBYPBP, 0.001876678, 14581.89, 217.87, 6273.31
YYBBBBBPBP, 0.0014435985, 11891.21, 507.68, 6938.11
YYBBPPPPPP, 0.000022016384, 11891.21, 8019.83, 221.77
YYBBPPPPYB, 0.00028384756, 14643.81, 6694.44, 147.85
YYBBPPPPYP, 0.00015611616, 14386.99, 6547.46, 194.05
YYBBPPPPBP, 0.00024017872, 11891.21, 9002.76, 194.05
YYBBPPYBYB, 0.0012198406, 15752.47, 166.33, 5090.87
YYBBPPYBYP, 0.0013418248, 15783.43, 4661.29, 120.13
YYBBPPYBBP, 0.0020643459, 14674.77, 5773.96, 120.13
YYBBPPYPYP, 0.00036900182, 15752.47, 5090.87, 166.33
YYBBPPYPBP, 0.0011353903, 14386.99, 6999.94, 166.33
YYBBPPBPBP, 0.0008733772, 11891.21, 8909.02, 166.33
YYBBYBYBYB, 0.00174743, 15976.87, 212.53, 0.00
YYBBYBYBYP, 0.0028832594, 15976.87, 166.33, 3181.79
YYBBYBYBBP, 0.0044357837, 15752.47, 278.70, 3181.79
YYBBYBYPYP, 0.0015857928, 15976.87, 120.13, 3589.74
YYBBYBYPBP, 0.0048793624, 15752.47, 166.33, 5090.87
YYBBYBBPBP, 0.003753356, 14581.89, 527.02, 5114.95
YYBBYPYPYP, 0.0002907287, 15976.87, 3678.99, 138.61
YYBBYPYPBP, 0.0013418249, 15752.47, 5058.61, 138.61
YYBBYPBPBP, 0.0020643459, 14612.85, 166.33, 6869.50
YYBBBPBPBP, 0.0010586389, 11891.21, 7817.86, 138.61
YYPPPPPPPP, 0.0000016649891, 11891.21, 0.00, 295.70
YYPPPPPPYB, 0.000028621296, 14386.99, 5012.40, 221.77
YYPPPPPPYP, 0.000015741714, 14674.77, 0.00, 310.86
YYPPPPPPBP, 0.000024218023, 11891.21, 5012.40, 334.15
YYPPPPYBYB, 0.0001845009, 15752.47, 5254.05, 147.85
YYPPPPYBYP, 0.00020295099, 15752.47, 4092.16, 194.05
YYPPPPYBBP, 0.0003122323, 14581.89, 6273.31, 217.87
YYPPPPYPYP, 0.000055811528, 15783.43, 0.00, 249.78
YYPPPPYPBP, 0.00017172779, 14612.85, 3534.76, 514.03
YYPPPPBPBP, 0.0001320983, 11891.21, 7152.49, 300.07
YYPPYBYBYB, 0.00052859756, 15976.87, 138.61, 3678.99
YYPPYBYBYP, 0.00087218604, 15976.87, 3589.74, 120.13
YYPPYBYBBP, 0.0013418248, 15783.43, 4661.29, 120.13
YYPPYBYPYP, 0.0004797023, 15976.87, 3181.79, 166.33
YYPPYBYPBP, 0.0014760072, 15752.47, 5090.87, 166.33
YYPPYBBPBP, 0.0011353903, 14612.85, 6869.50, 166.33
YYPPYPYPYP, 0.00008794544, 15976.87, 0.00, 212.53
YYPPYPYPBP, 0.000405902, 15752.47, 3181.79, 278.70
YYPPYPBPBP, 0.00062446465, 14386.99, 5769.32, 262.82
YYPPBPBPBP, 0.0003202383, 11891.21, 8504.71, 242.18
YYYBYBYBYB, 0.0005679147, 15080.30, 184.81, 0.00
YYYBYBYBYP, 0.0012494123, 15080.30, 138.61, 2299.37
YYYBYBYBBP, 0.0019221728, 15976.87, 250.98, 2299.37
YYYBYBYPYP, 0.0010307652, 15080.30, 2076.25, 92.41
YYYBYBYPBP, 0.0031715853, 15976.87, 138.61, 3678.99
YYYBYBBPBP, 0.0024396812, 15752.47, 211.28, 4539.02
YYYBYPYPYP, 0.00037794726, 15080.30, 2299.37, 138.61
YYYBYPYPBP, 0.0017443721, 15976.87, 3678.99, 138.61
YYYBYPBPBP, 0.0026836493, 15783.43, 5053.24, 138.61
YYYBBPBPBP, 0.0013762304, 14674.77, 6414.05, 138.61
YYYPYPYPYP, 0.000051967756, 15080.30, 0.00, 184.81
